凹	od
鼎	oi
屙	b
缶	ti
合	ji
龟	wc
属	bt
堇	fd
击	gi
交	hk
见	ow
车	sd
姬	ss
龟	wc
句	wi
黾	ic
貊	md
亓	gi
亲	hc
且	o
欠	wj
肉	oj
司	bi
氏	wc
叨	in
头	nk
廷	tl
彖	xk
亓	gi
亲	hc
且	o
欠	wj
喔	ib
危	wx
穴	nk
汩	dr
艾	em
衣	hk
予	lv
疋	vk
鱼	wo
属	bt
奡	aar
砹	aem
碍	arg
鹌	awd
桉	cns
澳	dra
菴	eao
蔼	elr
艾	emm
鞍	fns
獒	gak
聱	gfd
瑷	gma
熬	gmm
遨	gnn
嶅	goi
螯	gok
敖	gtk
敖	gtm
鳌	gwo
骜	gxd
鏊	gyy
庵	hao
廒	hgt
癌	hio
哀	hiw
霭	hlr
哀	hwk
鏖	hyy
嚣	iai
唵	iao
嗄	iao
嗄	iaw
呆	icc
哎	iem
呵	ifi
嗷	igt
唉	ilt
嗳	ima
吖	imi
嗌	imo
啊	ivf
俺	jao
傲	jgt
盦	jod
捱	kau
揞	khr
挨	klt
按	kns
拗	kxn
拗	kxz
谙	lhr
袄	ltk
爱	mal
案	ncc
懊	nra
安	nss
岸	oag
黯	ohr
盎	ood
奥	rak
暗	rhr
翱	rll
暧	rma
皑	rob
昂	rwv
嫒	sma
媪	sro
氨	tns
岙	toi
矮	tts
埯	uao
埃	ult
垵	uns
毐	uxd
坳	uxn
坳	uxz
腌	vao
阿	vfi
肮	vhw
隘	vmo
胺	vns
犴	wgi
锿	yhi
锿	yhw
铵	yns
锕	yvf
皕	aad
奔	aai
泵	add
礴	aed
砭	ael
奔	afa
磅	ahh
碚	ahi
不	akk
碥	alo
夯	ann
殡	anr
布	aoi
碑	arf
百	arr
甭	awi
飙	awm
觱	aww
夯	azz
弼	bab
檗	bcc
璧	bgk
辟	bhf
襞	bhk
襞	bhw
擘	bkk
屏	bmg
屄	bnm
避	bnn
嬖	bss
剥	buu
壁	buu
臂	bvv
鐾	byy
杯	cak
彬	ccq
欂	ced
柄	cfk
棒	cgg
标	cgk
标	cgp
梆	cgv
榜	chh
朳	cmm
槟	cnr
彬	cqe
板	cql
柏	crd
杓	cwk
皕	ddr
渤	dfn
浡	dfv
渤	dfz
灞	dhf
汴	dhk
瀌	dhm
泌	dlk
波	dnl
逼	dnn
滨	dnr
百	drd
泊	drd
瀑	drf
浜	drm
濞	dro
沘	dsw
滗	dtt
濒	dya
濒	dyj
波	dzl
茇	eal
薜	ebh
薄	edf
菠	edn
菠	edz
苯	efd
荸	efv
蒡	ehh
苄	ehj
苄	ehk
蔀	ehv
蓓	ejh
葆	eji
菝	eka
萹	elo
蕃	emo
