一	hh
丁	ti
七	ll
万	tn
丈	xd
三	gh
上	yh
下	fd
丌	hg
不	tl
与	hl
丐	fl
丑	ny
专	gl
且	bh
丕	th
世	hl
丘	oh
丙	hn
业	xh
丛	vh
东	lw
丝	wh
丞	wh
丢	tu
两	hn
严	hj
丧	yl
丨	ii
个	vi
丫	gi
丬	ki
中	fi
丰	fi
串	fo
临	gv
丶	dd
丸	xd
丹	ni
为	dx
主	dg
丽	hn
举	wf
丿	jj
乃	hj
久	hd
乇	jl
么	ju
义	dx
之	zd
乌	sh
乍	vg
乎	ti
乏	jz
乐	cw
乒	oj
乓	od
乔	jg
乖	tk
乘	uk
乙	nn
乜	nl
九	xn
乞	vn
也	ll
习	eh
乡	wj
书	nn
乩	ll
买	nd
乱	tl
乳	jl
乾	xv
了	wi
予	zn
争	he
事	ho
二	gh
亍	ht
于	ti
亏	gl
云	gu
互	ho
亓	gg
五	eh
井	oi
亘	gb
亚	hx
些	yg
亟	wh
亠	ih
亡	il
亢	iw
交	ix
亥	il
亦	ix
产	ij
亨	iw
亩	iq
享	iz
京	iw
亭	it
亮	iw
亲	im
亳	ij
亵	if
人	vd
亻	vi
亿	vn
什	vx
仁	vg
仂	vx
仃	vt
仄	jv
仅	va
仆	vl
仇	vx
仉	vw
今	vn
介	vg
仍	vh
从	vv
仑	vl
仓	vl
仔	vz
仕	vy
他	vl
仗	vx
付	vx
仙	ve
仝	vi
仞	vh
仟	vt
仡	vv
代	va
令	vz
以	lv
仨	vg
仪	vd
仫	vj
们	vn
仰	vc
仲	vf
仳	vl
仵	vv
件	vf
价	vv
任	vt
份	vg
仿	vi
企	vy
伉	vi
伊	ve
伍	ve
伎	vx
伏	vr
伐	va
休	vm
众	vv
优	vx
伙	vr
会	vg
伛	vc
伞	vg
伟	vf
传	vg
伢	vr
伤	vv
伥	vk
伦	vv
伧	vv
伪	vd
伫	vn
伯	vb
估	vx
伲	vp
伴	vg
伶	vv
伸	vb
伺	vn
似	vl
伽	vx
佃	vq
但	vb
位	vi
低	vc
住	vd
佐	vx
佑	vx
体	vm
何	vt
佗	vn
佘	vt
余	vt
佚	vj
佛	vw
作	vv
佝	vh
佞	vg
佟	va
你	vh
佣	vn
佤	va
佥	vw
佧	vy
佩	vw
佬	vj
佯	vg
佰	vh
佳	vy
佴	vp
佶	vy
佻	vx
佼	vi
佾	vg
使	vh
侃	vo
侄	vu
侈	vd
侉	vr
例	vt
侍	vy
侏	vj
侑	vx
侔	vu
侗	vn
供	vh
依	vt
侠	vr
侣	vo
侥	va
侦	vl
侧	vr
侨	vj
侩	vv
侪	vi
侬	vn
侮	vv
侯	vz
侵	ve
便	vh
促	vo
俄	vj
俅	vx
俊	vu
俎	vb
俏	vw
俐	vu
俑	vz
俗	vg
俘	vj
俚	vb
俜	vq
保	vo
俞	vn
俟	vu
信	vi
俣	vo
俦	vf
俨	vh
俩	vh
俪	vh
俭	vv
修	va
俯	vj
俱	vb
俳	vx
俸	vg
俺	vr
俾	vb
倌	vn
倍	vi
倏	va
倒	vu
倔	vp
倘	vw
候	vz
倚	vr
倜	vn
借	vh
倡	vb
倥	vn
倦	vg
倨	vp
倩	vy
倪	vu
倬	vl
倭	vu
倮	vb
债	vy
值	vx
倾	vl
偃	vc
假	vz
偈	vb
偌	vh
偎	vq
偏	vp
偕	vl
做	vx
停	vi
健	ve
偬	vh
偶	vb
偷	vv
偻	vx
偾	vx
偿	vw
傀	vb
傅	vf
傈	vq
傍	vi
傣	vg
傥	vw
傧	vn
储	vi
傩	va
催	ve
傲	vy
傺	vx
傻	vj
像	vh
僖	vy
僚	vr
僦	vi
僧	vg
僬	vv
僭	vc
僮	vi
僳	vq
僵	vh
僻	vp
儆	vh
儇	vq
儋	vh
儒	vt
儡	vq
儿	wl
兀	wl
允	uw
元	hw
兄	ow
充	iw
兆	xd
先	fw
光	ww
克	xo
免	ho
兑	go
兔	ho
兕	iw
兖	iu
党	ww
兜	cw
兢	xx
入	vd
全	vg
八	gd
公	gu
六	ig
兮	gh
兰	gg
共	hg
关	kr
兴	wg
兵	og
其	bd
具	bd
典	qg
兹	kw
养	gg
兼	ke
兽	gh
冀	kq
冁	gp
冂	nn
内	nv
冈	nx
冉	ny
册	nn
再	hn
冒	nb
冕	nh
冖	nn
冗	nw
写	nh
军	nl
农	nd
冠	nh
冢	ns
冤	nh
冥	nb
冫	dh
冬	ad
冯	ds
冰	dx
冱	dh
冲	df
决	dz
况	do
冶	du
冷	dv
